date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:24:42	14632/14632	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Jan%202025%2020:24:39%20GMT	https://www.csj.gov.py/informesjudiciales/verificador.aspx?code=38749404J	C:/Users/donal/OneDrive/Documentos/informesjudiciales/www.csj.gov.py/informesjudiciales/verificador68a9.html	(from )
17:24:42	1282/1282	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Jan%202025%2020:24:23%20GMT	https://www.csj.gov.py/robots.txt		(from )
17:24:42	509/509	---M--	200	added ('OK')	image/x-icon	etag:%22114f94fe3c65d31:0%22	https://www.csj.gov.py/informesjudiciales/Content/icono.ico	C:/Users/donal/OneDrive/Documentos/informesjudiciales/www.csj.gov.py/informesjudiciales/Content/icono.ico	(from https://www.csj.gov.py/informesjudiciales/verificador.aspx?code=38749404J)
17:24:42	141622/141622	---M-Z	200	added ('OK')	text/css	etag:%2209a22fe3c65d31:0%22	https://www.csj.gov.py/informesjudiciales/Content/bootstrap.css	C:/Users/donal/OneDrive/Documentos/informesjudiciales/www.csj.gov.py/informesjudiciales/Content/bootstrap.css	(from https://www.csj.gov.py/informesjudiciales/verificador.aspx?code=38749404J)
17:24:43	22608/22608	---M-Z	200	added ('OK')	text/css	etag:%2209a22fe3c65d31:0%22	https://www.csj.gov.py/informesjudiciales/Content/bootstrap-theme.css	C:/Users/donal/OneDrive/Documentos/informesjudiciales/www.csj.gov.py/informesjudiciales/Content/bootstrap-theme.css	(from https://www.csj.gov.py/informesjudiciales/verificador.aspx?code=38749404J)
17:24:43	37414/37414	---M-Z	200	added ('OK')	text/css	etag:%2280b3d833d65d31:0%22	https://www.csj.gov.py/informesjudiciales/Content/font-awesome-4.7.0/css/font-awesome.css	C:/Users/donal/OneDrive/Documentos/informesjudiciales/www.csj.gov.py/informesjudiciales/Content/font-awesome-4.7.0/css/font-awesome.css	(from https://www.csj.gov.py/informesjudiciales/verificador.aspx?code=38749404J)
17:24:43	24921/24921	---M-Z	200	added ('OK')	text/css	etag:%22808c54593d65d31:0%22	https://www.csj.gov.py/informesjudiciales/Content/assets/fonts/style.css	C:/Users/donal/OneDrive/Documentos/informesjudiciales/www.csj.gov.py/informesjudiciales/Content/assets/fonts/style.css	(from https://www.csj.gov.py/informesjudiciales/verificador.aspx?code=38749404J)
17:24:44	41626/41626	---M-Z	200	added ('OK')	text/css	etag:%2280ff487e3d65d31:0%22	https://www.csj.gov.py/informesjudiciales/Content/assets/plugins/animate.css/animate.min.css	C:/Users/donal/OneDrive/Documentos/informesjudiciales/www.csj.gov.py/informesjudiciales/Content/assets/plugins/animate.css/animate.min.css	(from https://www.csj.gov.py/informesjudiciales/verificador.aspx?code=38749404J)
17:24:44	81797/81797	---M-Z	200	added ('OK')	text/css	etag:%22808c54593d65d31:0%22	https://www.csj.gov.py/informesjudiciales/Content/assets/css/web/main.css	C:/Users/donal/OneDrive/Documentos/informesjudiciales/www.csj.gov.py/informesjudiciales/Content/assets/css/web/main.css	(from https://www.csj.gov.py/informesjudiciales/verificador.aspx?code=38749404J)
17:24:44	4900/4900	---M-Z	200	added ('OK')	text/css	etag:%22808c54593d65d31:0%22	https://www.csj.gov.py/informesjudiciales/Content/assets/css/web/main-responsive.css	C:/Users/donal/OneDrive/Documentos/informesjudiciales/www.csj.gov.py/informesjudiciales/Content/assets/css/web/main-responsive.css	(from https://www.csj.gov.py/informesjudiciales/verificador.aspx?code=38749404J)
